Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
223426,Avon Park School,51254570,R6107,SEN Statements Funding,18894,26/07/2017,Communities
223426,Avon Park School,51254567,R6107,SEN Statements Funding,18894,26/07/2017,Communities
223426,Avon Park School,51254565,R6107,SEN Statements Funding,21274,26/07/2017,Communities
223426,Avon Park School,51254564,R6107,SEN Statements Funding,18894,26/07/2017,Communities
223426,Avon Park School,51254560,R6107,SEN Statements Funding,18894,26/07/2017,Communities
223426,Avon Park School,51254543,R6107,SEN Statements Funding,16612.67,26/07/2017,Communities
223426,Avon Park School,51254542,R6107,SEN Statements Funding,16612.67,26/07/2017,Communities
223426,Avon Park School,51254540,R6107,SEN Statements Funding,19821.67,27/07/2017,Communities
223426,Avon Park School,51254595,R6107,SEN Statements Funding,19821.67,27/07/2017,Communities
213122,Avon Support Ltd,51251502,R5803,Daycare External,1029.99,19/07/2017,People Group
213122,Avon Support Ltd,51250356,R5803,Daycare External,650.52,31/07/2017,People Group
213122,Avon Support Ltd,51250355,R5803,Daycare External,1857.6,31/07/2017,People Group
213122,Avon Support Ltd,51250353,R5803,Daycare External,600,31/07/2017,People Group
213122,Avon Support Ltd,51250348,R5803,Daycare External,2167.2,31/07/2017,People Group
213122,Avon Support Ltd,51250345,R5851,Supported Living,922.56,31/07/2017,People Group
213122,Avon Support Ltd,51250344,R5803,Daycare External,1275.52,31/07/2017,People Group
213122,Avon Support Ltd,51250343,R5851,Supported Living,8704.2,31/07/2017,People Group
213122,Avon Support Ltd,51250342,R5851,Supported Living,5847.24,31/07/2017,People Group
213122,Avon Support Ltd,51250339,R5851,Supported Living,863.04,31/07/2017,People Group
213122,Avon Support Ltd,51250338,R5851,Supported Living,863.04,31/07/2017,People Group
213122,Avon Support Ltd,51249976,R5803,Daycare External,650.52,31/07/2017,People Group
213122,Avon Support Ltd,51249975,R5803,Daycare External,1084.2,31/07/2017,People Group
213122,Avon Support Ltd,51249974,R5803,Daycare External,650.52,31/07/2017,People Group
213122,Avon Support Ltd,51249955,R5803,Daycare External,1671.84,31/07/2017,People Group
213122,Avon Support Ltd,51249950,R5803,Daycare External,1084.2,31/07/2017,People Group
213122,Avon Support Ltd,51249949,R5803,Daycare External,1300.32,31/07/2017,People Group
213122,Avon Support Ltd,51249946,R5803,Daycare External,2013,31/07/2017,People Group
213122,Avon Support Ltd,51249944,R5803,Daycare External,650.52,31/07/2017,People Group
213122,Avon Support Ltd,51249941,R5803,Daycare External,1084.2,31/07/2017,People Group
213122,Avon Support Ltd,51249940,R5803,Daycare External,507.68,31/07/2017,People Group
213122,Avon Support Ltd,51249938,R5803,Daycare External,650.52,31/07/2017,People Group
213122,Avon Support Ltd,51249937,R5803,Daycare External,1084.2,31/07/2017,People Group
213122,Avon Support Ltd,51249935,R5803,Daycare External,1084.2,31/07/2017,People Group
213122,Avon Support Ltd,51249931,R5803,Daycare External,758.94,31/07/2017,People Group
213122,Avon Support Ltd,51249641,R5803,Daycare External,1902.8,31/07/2017,People Group
213122,Avon Support Ltd,51249635,R5803,Daycare External,542.1,31/07/2017,People Group
213122,Avon Support Ltd,51249634,R5803,Daycare External,2167.2,31/07/2017,People Group
213122,Avon Support Ltd,51249629,R5803,Daycare External,1084.2,31/07/2017,People Group
213122,Avon Support Ltd,51249627,R5803,Daycare External,867.36,31/07/2017,People Group
213122,Avon Support Ltd,51249623,R5803,Daycare External,2167.2,31/07/2017,People Group
213122,Avon Support Ltd,51249632,R5803,Daycare External,650.52,31/07/2017,People Group
213122,Avon Support Ltd,51252341,R5803,Daycare External,596.31,31/07/2017,People Group
213122,Avon Support Ltd,51252332,R5803,Daycare External,1084.2,31/07/2017,People Group
216249,Avonside Health Centre,51253852,R5702,Payments to External Contractors,504,31/07/2017,Communities
216249,Avonside Health Centre,51254010,R5702,Payments to External Contractors,699.44,31/07/2017,Communities
213427,Aylesford School And Sixth Form College (Academy),51252075,R6107,SEN Statements Funding,2394,20/07/2017,Communities
213427,Aylesford School And Sixth Form College (Academy),51242136,R5702,Payments to External Contractors,20000,28/07/2017,Communities
216184,Babcock Critical Service Ltd,51243153,R3001,Vehicle Operating Costs,6436.69,28/07/2017,Fire and Rescue
230564,Bablake School,51248819,R6107,SEN Statements Funding,1496,14/07/2017,Communities
200575,Baddesley and Grendon Pre/School - Playgroup,51238011,R6106,Early Years Funding (PVIs and LA),2888.34,03/07/2017,Communities
200576,Badenoch & Clark Ltd,51228203,R1101,Agency Staff Pay,1365,05/07/2017,Resources
200576,Badenoch & Clark Ltd,51228189,R1101,Agency Staff Pay,1295,05/07/2017,Resources
200576,Badenoch & Clark Ltd,51228193,R1101,Agency Staff Pay,2160,05/07/2017,Resources
200576,Badenoch & Clark Ltd,51228551,R1101,Agency Staff Pay,2375,06/07/2017,Resources
200576,Badenoch & Clark Ltd,51228287,R1101,Agency Staff Pay,726.25,06/07/2017,Resources
200576,Badenoch & Clark Ltd,51228550,R1101,Agency Staff Pay,2160,06/07/2017,Resources
200576,Badenoch & Clark Ltd,51230418,R1101,Agency Staff Pay,2375,07/07/2017,Resources
200576,Badenoch & Clark Ltd,51230413,R1101,Agency Staff Pay,1900,07/07/2017,Resources
200576,Badenoch & Clark Ltd,51230412,R1101,Agency Staff Pay,2375,07/07/2017,Resources
200576,Badenoch & Clark Ltd,51230105,R1101,Agency Staff Pay,1719,07/07/2017,People Group
200576,Badenoch & Clark Ltd,51231631,R1101,Agency Staff Pay,1719,13/07/2017,People Group
200576,Badenoch & Clark Ltd,51231616,R1101,Agency Staff Pay,2160,13/07/2017,Resources
200576,Badenoch & Clark Ltd,51232238,R1101,Agency Staff Pay,1295,14/07/2017,Resources
200576,Badenoch & Clark Ltd,51233629,R1101,Agency Staff Pay,1719,19/07/2017,People Group
200576,Badenoch & Clark Ltd,51233621,R1101,Agency Staff Pay,9900,19/07/2017,People Group
200576,Badenoch & Clark Ltd,51234913,R1101,Agency Staff Pay,1295,20/07/2017,Resources
200576,Badenoch & Clark Ltd,51234904,R1101,Agency Staff Pay,6600,20/07/2017,People Group
200576,Badenoch & Clark Ltd,51234903,R1101,Agency Staff Pay,1719,20/07/2017,People Group
200576,Badenoch & Clark Ltd,51237080,R1101,Agency Staff Pay,2375,21/07/2017,Resources
200576,Badenoch & Clark Ltd,51241141,R1101,Agency Staff Pay,2375,28/07/2017,Resources
213432,Baker Small Legal Services Ltd t/a Baker Small Solicitors,51240138,R4441,Professional Fees,4500,25/07/2017,Resources
213432,Baker Small Legal Services Ltd t/a Baker Small Solicitors,51243402,R4441,Professional Fees,4500,25/07/2017,Resources
,Balfour Beatty Living Places,,Don Page dealt with coding,,"1,487,933.01",17/07/2017,Communities
200589,Balfour Beatty Living Places Ltd (****2460),51249552,R5702,Payments to External Contractors,1518086.79,18/07/2017,Communities
232605,Baltimore Consulting Ltd,51240947,R1101,Agency Staff Pay,920,12/07/2017,Communities
232605,Baltimore Consulting Ltd,51240941,R1101,Agency Staff Pay,1380,12/07/2017,Communities
232605,Baltimore Consulting Ltd,51240946,R1101,Agency Staff Pay,1150,12/07/2017,Communities
232605,Baltimore Consulting Ltd,51244951,R1101,Agency Staff Pay,2300,18/07/2017,Communities
232605,Baltimore Consulting Ltd,51244970,R1101,Agency Staff Pay,2300,18/07/2017,Communities
232605,Baltimore Consulting Ltd,51244953,R1101,Agency Staff Pay,3450,20/07/2017,Communities
232605,Baltimore Consulting Ltd,51248158,R1101,Agency Staff Pay,1150,25/07/2017,Communities
200593,Bambini Childcare Ltd,51237953,R6106,Early Years Funding (PVIs and LA),6284.52,03/07/2017,Communities
200594,Banana Moon Day Nursery (Grove House),51237917,R6106,Early Years Funding (PVIs and LA),11069.32,03/07/2017,Communities
226306,Banana Moon Day Nursery (Harbury),51237887,R6106,Early Years Funding (PVIs and LA),1959.94,03/07/2017,Communities
100252,Bancroft Gardens,51255075,R5806,Residential Care,2275.68,27/07/2017,People Group
100252,Bancroft Gardens,51255075,R5806,Residential Care,5267.16,27/07/2017,People Group
100252,Bancroft Gardens,51255075,R5806,Residential Care,5307.24,27/07/2017,People Group
233407,Bang the Drum Productions Ltd,51232260,R4310,"Printing, Photocopying and Reprographics",850,14/07/2017,Resources
200604,Barcham Trees PLC,51232630,R4030,Materials,1370,14/07/2017,Communities
100015,Barchester Healthcare Homes Ltd T/A Cherry Trees Care Centre,51255108,R5806,Residential Care,3358.04,27/07/2017,People Group
100015,Barchester Healthcare Homes Ltd T/A Cherry Trees Care Centre,51255108,R5806,Residential Care,4487,27/07/2017,People Group
100015,Barchester Healthcare Homes Ltd T/A Cherry Trees Care Centre,51255108,R5806,Residential Care,1926.12,27/07/2017,People Group
