ESTAB,School Name,Type,Phase,Education Area,District,2006_07_Total absence_4half_terms ,2007_08_Total absence_4half_terms ,2008_09_Total absence_4half_terms ,2006_07_Persistent_ absence_4half_terms ,2007_08_Persistent_ absence_4half_terms ,2007_08_Persistent_ absence_4half_terms 
3592,St. Nicolas C.Of E. (Voluntary Aided) Primary School,Primary,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,3.3,3.9,3.9,0.8,0.5,0
3206,St. Oswald's C.Of E. Primary School,Primary,Primary,Eastern,Rugby,4.6,4.7,6.1,0.5,0.6,4.5
3543,St. Patrick's Catholic Primary School,Primary,Primary,Central,Warwick,7,6.5,8.1,1.1,3,4.3
3371,"St. Paul's C.Of E. Primary School, Leamington Spa",Primary,Primary,Central,Warwick,5.5,5.2,5.6,2.7,1.9,2.2
3106,"St. Paul's C.Of E. Primary School, Nuneaton",Primary,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,4.4,3.8,4.8,0.8,0.8,0.5
3542,St. Peter's Catholic Primary School,Primary,Primary,Central,Warwick,4.1,3.8,4.3,0,0,1.1
4803,St. Thomas More Catholic School and Technology College,Secondary,Secondary,Nuneaton & Bedworth,Nuneaton and Bedworth,5.8,6,6.7,3.7,4.2,3.8
2121,Stockingford Infant School,Infant,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,6.6,7.6,8,3.9,5.9,6.5
2120,Stockingford Junior School,Junior,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,5.9,6.3,7,2.4,4.5,6.7
2049,Stockton Primary School,Primary,Primary,Central,Stratford upon Avon,3.9,3.6,5,0,0,0
4002,Stratford-upon-Avon Grammar School for Girls A Specialist College for Language and Science,Secondary,Secondary,Southern,Stratford upon Avon,4.5,4.5,4.9,0.8,1,1
4124,"Stratford-upon-Avon High School, A Maths and Computing Specialist College",Secondary,Secondary,Southern,Stratford upon Avon,8.7,7.9,8.2,1.8,7.4,7.1
2050,Stratford-upon-Avon Primary School,Primary,Primary,Southern,Stratford upon Avon,3.3,3.5,4,0,0.5,0.5
5408,"Studley High School, Humanities and Music College",Secondary,Secondary,Southern,Stratford upon Avon,7.9,6.4,5.8,4.6,4.8,4
2055,Studley Infant School,Infant,Primary,Southern,Stratford upon Avon,4.9,5.3,4.2,0.7,0.8,1
3310,Studley St. Mary's C.Of E. Junior School,Junior,Primary,Southern,Stratford upon Avon,5.7,4.1,4.5,2.8,0,0
